entry,year,co2ppm
0,-796504,191.0
1,-795091,188.4
2,-794459,189.3
3,-793194,195.2
4,-792600,199.4
5,-791252,209.0
6,-790935,204.0
7,-790073,205.1
8,-789483,215.4
9,-788530,221.3
10,-788145,218.2
11,-787373,226.3
12,-786879,229.5
13,-786025,247.9
14,-785797,248.1
15,-785068,256.9
16,-784579,260.3
17,-783781,255.4
18,-783405,253.3
19,-782684,250.7
20,-782139,246.9
21,-781255,252.1
22,-780051,246.2
23,-779527,248.7
24,-778604,242.8
25,-778260,248.5
26,-777356,243.9
27,-776790,245.8
28,-775892,246.1
29,-775548,246.3
30,-774628,243.9
31,-774029,238.8
32,-773043,240.5
33,-772540,236.9
34,-771672,233.3
35,-771035,230.0
36,-770068,230.9
37,-769700,229.5
38,-769252,237.7
39,-768986,235.6
40,-768716,238.2
41,-768439,235.6
42,-768125,231.5
43,-767779,226.0
44,-767506,228.1
45,-767042,221.4
46,-766647,222.4
47,-765729,217.7
48,-765088,213.5
49,-764102,215.7
50,-763727,216.8
51,-762825,222.6
52,-762241,224.1
53,-761926,221.4
54,-761678,225.7
55,-761311,215.0
56,-760863,216.0
57,-760056,212.0
58,-759445,206.1
59,-758492,206.9
60,-758194,208.8
61,-757298,214.9
62,-756875,217.9
63,-756467,217.6
64,-756251,215.3
65,-755954,219.2
66,-755553,215.0
67,-754863,210.7
68,-754349,206.0
69,-753487,201.9
70,-753233,200.5
71,-752386,195.8
72,-751976,191.5
73,-750970,196.5
74,-750597,188.0
75,-749822,190.1
76,-749293,186.2
77,-748468,184.0
78,-748186,184.8
79,-747393,182.9
80,-746905,181.4
81,-746093,180.4
82,-745751,180.8
83,-745102,180.8
84,-744635,183.1
85,-743828,180.2
86,-742835,182.0
87,-742346,181.2
88,-741581,180.4
89,-741225,181.7
90,-740550,182.3
91,-740067,177.9
92,-739299,176.6
93,-739013,178.6
94,-738269,178.9
95,-737834,185.0
96,-737129,197.8
97,-736836,200.3
98,-736264,206.5
99,-735881,210.6
100,-735258,211.3
101,-735026,208.1
102,-734452,209.7
103,-734071,204.1
104,-733451,201.3
105,-733159,201.7
106,-732596,207.4
107,-732215,205.3
108,-731535,204.4
109,-731253,203.9
110,-730540,205.9
111,-730133,203.8
112,-729321,204.9
113,-728941,204.1
114,-728291,204.0
115,-726913,205.4
116,-726560,205.1
117,-725724,205.5
118,-725184,204.5
119,-724314,208.1
120,-723929,206.6
121,-723051,206.3
122,-722437,210.3
123,-721456,213.2
124,-721125,213.4
125,-720031,211.3
126,-719310,206.3
127,-718329,195.2
128,-717786,187.8
129,-716771,184.3
130,-716056,192.9
131,-715057,205.0
132,-714696,208.1
133,-713742,222.1
134,-713172,217.7
135,-712280,221.7
136,-711835,222.3
137,-710825,218.5
138,-709413,218.7
139,-709096,218.9
140,-708229,220.2
141,-707672,219.7
142,-704401,228.1
143,-704133,228.6
144,-703402,228.5
145,-702965,233.9
146,-702203,231.2
147,-701926,231.2
148,-701376,232.8
149,-700980,232.4
150,-700373,230.3
151,-700150,229.3
152,-699598,228.8
153,-699234,228.2
154,-698736,227.6
155,-698381,228.7
156,-697901,226.0
157,-697625,227.6
158,-697094,227.7
159,-696872,226.4
160,-696378,228.0
161,-696112,231.0
162,-695652,232.2
163,-695323,232.4
164,-694955,232.9
165,-694709,235.4
166,-694279,234.8
167,-694054,234.6
168,-693610,237.6
169,-693375,236.7
170,-692933,236.9
171,-692664,235.8
172,-692292,234.4
173,-692060,235.4
174,-691631,234.1
175,-691425,234.1
176,-690982,234.8
177,-690757,232.9
178,-690330,235.9
179,-690049,235.5
180,-689664,236.6
181,-689424,235.6
182,-688991,234.0
183,-688763,240.0
184,-688286,234.8
185,-688049,235.6
186,-687595,239.9
187,-687296,235.8
188,-686873,234.9
189,-686644,235.8
190,-686187,233.0
191,-685941,232.3
192,-685462,228.8
193,-685219,228.7
194,-684718,227.3
195,-684417,224.3
196,-683972,224.4
197,-683708,223.5
198,-683209,219.7
199,-682941,219.5
200,-682411,219.4
201,-682134,217.5
202,-681604,217.5
203,-681254,218.7
204,-680754,221.3
205,-680438,222.6
206,-679841,219.7
207,-679523,217.3
208,-678912,216.2
209,-678600,218.4
210,-678073,225.0
211,-677724,223.0
212,-677244,230.3
213,-676906,230.8
214,-676283,230.0
215,-675976,226.5
216,-675372,217.4
217,-675060,215.6
218,-674516,214.0
219,-674162,217.4
220,-673581,220.0
221,-672513,213.7
222,-672165,209.2
223,-671467,202.3
224,-671087,198.7
225,-670378,194.8
226,-669918,192.5
227,-669278,194.6
228,-668908,192.6
229,-668168,189.3
230,-667743,185.5
231,-666926,178.5
232,-666439,175.6
233,-665561,171.6
234,-664987,172.7
235,-664166,178.5
236,-663637,178.2
237,-662682,185.8
238,-662184,189.1
239,-661198,189.0
240,-660661,187.8
241,-659642,189.8
242,-658973,186.6
243,-658076,183.9
244,-657516,182.4
245,-656466,189.2
246,-655915,191.3
247,-654874,198.7
248,-654278,198.4
249,-653194,193.2
250,-652465,191.3
251,-651440,185.3
252,-650794,185.8
253,-649548,192.0
254,-648883,187.8
255,-647590,194.8
256,-646938,192.1
257,-645580,190.5
258,-644715,188.6
259,-643462,194.6
260,-642654,194.1
261,-641196,190.4
262,-640397,190.2
263,-638752,189.1
264,-637840,187.7
265,-636119,194.3
266,-634949,193.0
267,-633481,193.9
268,-632584,192.1
269,-630848,195.6
270,-629993,199.5
271,-628287,199.9
272,-627438,198.7
273,-625991,205.0
274,-625203,214.9
275,-624207,227.8
276,-623562,234.3
277,-622682,237.3
278,-621206,238.6
279,-619752,243.0
280,-618330,245.4
281,-616947,247.9
282,-615536,252.3
283,-614219,252.4
284,-612915,252.5
285,-611701,256.0
286,-610506,258.0
287,-609311,259.6
288,-608128,257.7
289,-606921,259.2
290,-605700,254.6
291,-604366,248.5
292,-603068,244.5
293,-601665,239.1
294,-600270,237.9
295,-598874,232.5
296,-597426,229.4
297,-596825,226.0
298,-595958,219.0
299,-595435,216.3
300,-594507,216.4
301,-593942,221.2
302,-593181,232.9
303,-592631,238.0
304,-591862,238.1
305,-591407,233.2
306,-590689,229.4
307,-590271,225.7
308,-588885,237.4
309,-588327,243.6
310,-587860,248.1
311,-587216,250.2
312,-586708,246.3
313,-586026,238.8
314,-585639,234.4
315,-584885,226.0
316,-584398,224.0
317,-581405,210.6
318,-581026,206.7
319,-580383,209.9
320,-579992,215.4
321,-579499,219.4
322,-579152,225.2
323,-578687,230.3
324,-578392,236.2
325,-578011,243.8
326,-577813,244.1
327,-577427,251.5
328,-576849,252.9
329,-576297,249.1
330,-575761,251.1
331,-575234,251.3
332,-574715,251.3
333,-574214,252.9
334,-573722,252.5
335,-573257,248.9
336,-572795,252.1
337,-572345,251.9
338,-571894,251.8
